id,name,group
Oulu,Oulu,G1
Tampere,Tampere,G1
Turku,Turku,G1
Helsinki,Helsinki,G1
Kuopio,Kuopio,G1
Joensuu,Joensuu,G1
Vaasa,Vaasa,G2
Jyvaskyla,Jyvaskyla,G2
Other,Other,G2
Espoo,Espoo,G2
Vantaa,Vantaa,G2
Lappeenranta,Lappeenranta,G2
Jarvenpaa,Jarvenpaa,G2
Lahti,Lahti,G2
Porvoo,Porvoo,G3
Pori,Pori,G3
Mikkeli,Mikkeli,G3
Hameenlinna,Hameenlinna,G3
Kotka,Kotka,G3
Lohja,Lohja,G3
Rauma,Rauma,G3
Nurmijarvi,Nurmijarvi,G3
